,Time,Temperature(F),Dew Point(F),Humidity(%),Wind,Wind Speed(mph),Wind Gust(mph),Pressure(in),Precip.(in),Condition,date
0,9:00 PM,57,37,48,SW,9,0,29.6,0.0,Fair,2019-09-16 21:00:00
1,9:30 PM,57,37,48,SW,7,0,29.6,0.0,Fair,2019-09-16 21:30:00
2,10:00 PM,57,39,51,SW,7,0,29.6,0.0,Fair,2019-09-16 22:00:00
3,10:30 PM,55,37,51,SW,7,0,29.5,0.0,Fair,2019-09-16 22:30:00
4,11:00 PM,55,37,51,SW,7,0,29.5,0.0,Fair,2019-09-16 23:00:00
5,11:30 PM,57,39,51,WSW,7,0,29.5,0.0,Fair,2019-09-16 23:30:00
6,12:00 AM,59,37,45,WSW,9,0,29.5,0.0,Fair,2019-09-16 00:00:00
7,12:30 AM,57,39,51,WSW,9,0,29.5,0.0,Fair,2019-09-16 00:30:00
8,1:00 AM,55,39,54,WSW,9,0,29.5,0.0,Fair,2019-09-16 01:00:00
9,1:30 AM,55,39,54,WSW,9,0,29.5,0.0,Fair,2019-09-16 01:30:00
10,2:00 AM,54,39,58,WSW,9,0,29.5,0.0,Fair,2019-09-16 02:00:00
11,2:30 AM,54,39,58,SW,9,0,29.5,0.0,Fair,2019-09-16 02:30:00
12,3:00 AM,54,39,58,WSW,9,0,29.4,0.0,Fair,2019-09-16 03:00:00
13,3:30 AM,54,39,58,WSW,9,0,29.4,0.0,Fair,2019-09-16 03:30:00
14,4:00 AM,54,41,62,WSW,9,0,29.4,0.0,Fair,2019-09-16 04:00:00
15,4:30 AM,55,41,58,WSW,9,0,29.4,0.0,Fair,2019-09-16 04:30:00
16,5:00 AM,57,41,55,WSW,11,0,29.4,0.0,Fair,2019-09-16 05:00:00
17,5:30 AM,59,43,55,WSW,13,0,29.4,0.0,Fair,2019-09-16 05:30:00
18,6:00 AM,61,43,52,WSW,13,0,29.4,0.0,Fair,2019-09-16 06:00:00
19,6:30 AM,63,45,52,W,13,0,29.4,0.0,Fair,2019-09-16 06:30:00
20,7:00 AM,63,45,52,W,11,0,29.4,0.0,Fair,2019-09-16 07:00:00
21,7:30 AM,64,46,52,W,11,0,29.4,0.0,Fair,2019-09-16 07:30:00
22,8:00 AM,66,46,49,W,11,0,29.4,0.0,Fair,2019-09-16 08:00:00
23,8:30 AM,70,46,43,W,9,0,29.4,0.0,Fair,2019-09-16 08:30:00
24,9:00 AM,70,46,43,W,11,0,29.4,0.0,Fair,2019-09-16 09:00:00
25,9:30 AM,72,45,38,W,13,0,29.4,0.0,Fair,2019-09-16 09:30:00
26,10:00 AM,72,45,38,W,13,0,29.4,0.0,Fair,2019-09-16 10:00:00
27,10:30 AM,73,41,31,W,16,0,29.4,0.0,Fair,2019-09-16 10:30:00
28,11:00 AM,75,41,29,WNW,18,0,29.4,0.0,Fair,2019-09-16 11:00:00
29,11:30 AM,75,41,29,W,16,0,29.4,0.0,Fair,2019-09-16 11:30:00
30,12:00 PM,75,41,29,WNW,16,0,29.4,0.0,Fair,2019-09-16 12:00:00
31,12:30 PM,75,39,27,W,13,25,29.4,0.0,Fair,2019-09-16 12:30:00
32,1:00 PM,75,41,29,WNW,16,0,29.3,0.0,Fair,2019-09-16 13:00:00
33,1:30 PM,75,39,27,W,16,0,29.4,0.0,Fair,2019-09-16 13:30:00
34,2:00 PM,73,39,29,W,13,0,29.3,0.0,Fair,2019-09-16 14:00:00
35,2:30 PM,73,39,29,W,13,0,29.4,0.0,Fair,2019-09-16 14:30:00
36,3:00 PM,72,41,33,W,11,0,29.4,0.0,Fair,2019-09-16 15:00:00
37,3:30 PM,70,43,38,W,9,0,29.3,0.0,Fair,2019-09-16 15:30:00
38,4:00 PM,70,41,35,W,11,0,29.4,0.0,Fair,2019-09-16 16:00:00
39,4:30 PM,68,43,40,W,11,0,29.4,0.0,Fair,2019-09-16 16:30:00
40,5:00 PM,68,43,40,W,11,0,29.4,0.0,Fair,2019-09-16 17:00:00
41,5:30 PM,66,45,46,WSW,11,0,29.4,0.0,Fair,2019-09-16 17:30:00
42,6:00 PM,66,45,46,W,7,0,29.4,0.0,Fair,2019-09-16 18:00:00
43,6:30 PM,64,43,45,W,7,0,29.4,0.0,Fair,2019-09-16 18:30:00
44,7:00 PM,64,43,45,W,7,0,29.4,0.0,Fair,2019-09-16 19:00:00
45,7:30 PM,64,43,45,W,7,0,29.4,0.0,Fair,2019-09-16 19:30:00
46,8:00 PM,64,43,45,W,9,0,29.4,0.0,Fair,2019-09-16 20:00:00
47,8:30 PM,64,43,45,W,7,0,29.4,0.0,Fair,2019-09-16 20:30:00
0,9:00 PM,61,41,48,NW,7,0,29.4,0.0,Fair,2019-09-17 21:00:00
1,9:30 PM,63,41,45,NNW,11,0,29.4,0.0,Fair,2019-09-17 21:30:00
2,10:00 PM,61,41,48,NNW,9,0,29.4,0.0,Fair,2019-09-17 22:00:00
3,10:30 PM,59,41,51,NW,7,0,29.4,0.0,Fair,2019-09-17 22:30:00
4,11:00 PM,57,41,55,W,4,0,29.4,0.0,Fair,2019-09-17 23:00:00
5,11:30 PM,55,39,54,W,4,0,29.4,0.0,Fair,2019-09-17 23:30:00
6,12:00 AM,55,41,58,W,4,0,29.4,0.0,Fair,2019-09-17 00:00:00
7,12:30 AM,54,39,58,W,4,0,29.4,0.0,Fair,2019-09-17 00:30:00
8,1:00 AM,54,41,62,W,4,0,29.4,0.0,Fair,2019-09-17 01:00:00
9,1:30 AM,55,41,58,WSW,4,0,29.4,0.0,Fair,2019-09-17 01:30:00
10,2:00 AM,55,41,58,WSW,4,0,29.4,0.0,Fair,2019-09-17 02:00:00
11,2:30 AM,55,41,58,W,4,0,29.4,0.0,Fair,2019-09-17 02:30:00
12,3:00 AM,54,41,62,W,4,0,29.4,0.0,Fair,2019-09-17 03:00:00
13,3:30 AM,54,41,62,W,4,0,29.4,0.0,Fair,2019-09-17 03:30:00
14,4:00 AM,54,41,62,W,4,0,29.4,0.0,Fair,2019-09-17 04:00:00
15,4:30 AM,54,41,62,W,7,0,29.4,0.0,Fair,2019-09-17 04:30:00
16,5:00 AM,54,41,62,W,7,0,29.4,0.0,Fair,2019-09-17 05:00:00
17,5:30 AM,54,41,62,W,7,0,29.4,0.0,Fair,2019-09-17 05:30:00
18,6:00 AM,57,41,55,W,9,0,29.4,0.0,Fair,2019-09-17 06:00:00
19,6:30 AM,57,43,59,W,9,0,29.4,0.0,Fair,2019-09-17 06:30:00
20,7:00 AM,61,41,48,W,9,0,29.4,0.0,Fair,2019-09-17 07:00:00
21,7:30 AM,61,39,45,W,11,0,29.4,0.0,Fair,2019-09-17 07:30:00
22,8:00 AM,61,39,45,W,13,0,29.4,0.0,Fair,2019-09-17 08:00:00
23,8:30 AM,61,37,42,W,13,25,29.4,0.0,Fair,2019-09-17 08:30:00
24,9:00 AM,63,37,39,W,16,0,29.4,0.0,Fair,2019-09-17 09:00:00
25,9:30 AM,64,37,37,W,13,0,29.4,0.0,Fair,2019-09-17 09:30:00
26,10:00 AM,64,37,37,W,13,0,29.3,0.0,Fair,2019-09-17 10:00:00
27,10:30 AM,64,36,34,W,13,0,29.3,0.0,Fair,2019-09-17 10:30:00
28,11:00 AM,64,34,32,W,13,0,29.3,0.0,Fair,2019-09-17 11:00:00
29,11:30 AM,64,34,32,W,13,0,29.3,0.0,Fair,2019-09-17 11:30:00
30,12:00 PM,66,36,32,W,11,0,29.3,0.0,Fair,2019-09-17 12:00:00
31,12:30 PM,64,34,32,W,11,0,29.3,0.0,Fair,2019-09-17 12:30:00
32,1:00 PM,66,32,28,W,9,0,29.3,0.0,Fair,2019-09-17 13:00:00
33,1:30 PM,66,32,28,WNW,11,0,29.3,0.0,Fair,2019-09-17 13:30:00
34,2:00 PM,66,32,28,W,9,0,29.3,0.0,Fair,2019-09-17 14:00:00
35,2:30 PM,64,34,32,W,11,0,29.3,0.0,Fair,2019-09-17 14:30:00
36,3:00 PM,64,32,30,W,9,0,29.3,0.0,Fair,2019-09-17 15:00:00
37,3:30 PM,63,32,32,W,7,0,29.3,0.0,Fair,2019-09-17 15:30:00
38,4:00 PM,59,32,36,W,4,0,29.3,0.0,Fair,2019-09-17 16:00:00
39,4:30 PM,59,32,36,WSW,4,0,29.3,0.0,Fair,2019-09-17 16:30:00
40,5:00 PM,57,34,41,SW,7,0,29.3,0.0,Fair,2019-09-17 17:00:00
41,5:30 PM,50,32,50,SW,4,0,29.3,0.0,Fair,2019-09-17 17:30:00
42,6:00 PM,50,34,54,SSW,4,0,29.3,0.0,Fair,2019-09-17 18:00:00
43,6:30 PM,50,34,54,SW,7,0,29.3,0.0,Fair,2019-09-17 18:30:00
44,7:00 PM,50,34,54,WSW,7,0,29.3,0.0,Fair,2019-09-17 19:00:00
45,7:30 PM,48,36,62,SSW,7,0,29.3,0.0,Fair,2019-09-17 19:30:00
46,8:00 PM,54,37,54,SW,7,0,29.3,0.0,Fair,2019-09-17 20:00:00
47,8:30 PM,55,36,47,SW,9,0,29.2,0.0,Fair,2019-09-17 20:30:00
